"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/products/cli/security/","Declared page intent; confirm against editorial brief.","Still framing the question Read the web-publishing control-plane brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/products/cli/security/","Declared page intent; confirm against editorial brief.","Review enterprise CLI access","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/","Declared page intent; confirm against editorial brief.","Talk with us","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/architecture/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/architecture/","Declared page intent; confirm against editorial brief.","Inspect component roles ↗","text-link","/methods/hybrid-inference/","Research or method path","early-stage","internal","https://hardmagic.com/methods/hybrid-inference/","strong"
"/products/gpu-router/architecture/","Declared page intent; confirm against editorial brief.","Ready to move Request architecture review Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/architecture/","Declared page intent; confirm against editorial brief.","Still framing the question Inspect component roles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/hybrid-inference/","Research or method path","early-stage","internal","https://hardmagic.com/methods/hybrid-inference/","strong"
"/products/gpu-router/architecture/","Declared page intent; confirm against editorial brief.","Request architecture review","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/benchmarks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/benchmarks/","Declared page intent; confirm against editorial brief.","Read the hybrid-infrastructure brief ↗","text-link","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/products/gpu-router/benchmarks/","Declared page intent; confirm against editorial brief.","Ready to move Plan a benchmark Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/benchmarks/","Declared page intent; confirm against editorial brief.","Still framing the question Read the hybrid-infrastructure brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/products/gpu-router/benchmarks/","Declared page intent; confirm against editorial brief.","Plan a benchmark","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/observability/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/observability/","Declared page intent; confirm against editorial brief.","Read the provenance essay ↗","text-link","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/gpu-router/observability/","Declared page intent; confirm against editorial brief.","Ready to move Review telemetry needs Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/observability/","Declared page intent; confirm against editorial brief.","Still framing the question Read the provenance essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/products/gpu-router/observability/","Declared page intent; confirm against editorial brief.","Review telemetry needs","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/routing/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/gpu-router/routing/","Declared page intent; confirm against editorial brief.","Ready to move Model a workload Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/gpu-router/routing/","Declared page intent; confirm against editorial brief.","Review routing criteria ↗","text-link","/methods/hybrid-inference/","Research or method path","early-stage","internal","https://hardmagic.com/methods/hybrid-inference/","strong"
"/products/gpu-router/routing/","Declared page intent; confirm against editorial brief.","Still framing the question Review routing criteria Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/hybrid-inference/","Research or method path","early-stage","internal","https://hardmagic.com/methods/hybrid-inference/","strong"
